Taxonomy,WS1L1,WS1L2,WS1L3,WS1L4,WS2L1,WS2L2,WS2L3,WS2L4,WS3L1,WS3L2,WS3L3,WS3L4,BS1L1,BS1L2,BS1L3,BS1L4,BS2L1,BS2L3,BS2L4,BS3L1,BS3L2,BS3L3,BS3L4,BS2L2,Tax_detail
Prosthecobacter,0.004587599,0.000869229,0.003235465,0.001448715,0.000265598,0.000482905,0.000893375,0.016418775,7.24E-05,0.003911532,0.003742515,0.004466873,0.001666023,0.00091752,0.00234209,0.002004056,0.00050705,0.000362179,0.00045876,0.000144872,2.41E-05,0.000169017,4.83E-05,0.000144872,k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;
MND1,0.002004056,0.002873286,0.001327989,0.003356191,0,0.000265598,0.000193162,0.000241453,0.000627777,0.000555341,0.000845084,0.002269654,0.001014101,0.002897431,0.006905544,0.002221364,0.002390381,0.002994012,0.00325961,0.009971992,0.015863434,0.009247634,0.007002125,0.004539308,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__MND1;
Magnetospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000241453,0.000676067,4.83E-05,0.007678192,0.002438671,0.002631833,0,0,0.001955766,0.015815144,0.000144872,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Magnetospirillum;
Quatrionicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015790999,0,0,7.24E-05,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Quatrionicoccus;
unidentified_Methylacidiphilaceae,0,0,0,0,0.012458953,0.004128839,0.006422639,0.015356384,0.001134827,0.000579486,0.002366235,0.001303844,0,0,0,0,0,7.24E-05,0,0,0,0,2.41E-05,0,k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__unidentified_Methylacidiphilaceae;
BSV13,0,0,0,0,0,0,0,0,0,0,0,0,0.000410469,0.008837164,0.005722426,0.001762604,0.013666216,0.002704269,0.001207263,0,0,0.000217307,0.000434615,0.003911532,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__BSV13;
Acinetobacter,0,0.000169017,0,0,0,4.83E-05,0,0,0,0,0,0,0,0.013617925,9.66E-05,0,0,0,0,0,0,0,0,0.000338034,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;
Ktedonobacter,0,0,0,0,0,0,0,2.41E-05,0.000144872,0,0,0.000120726,7.24E-05,0,0,0,0.000313888,0.00045876,0.000893375,0.001714313,0.000338034,0.01354549,0.000169017,0.000217307,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Ktedonobacter;
Fluviicola,0.002221364,0.000482905,0.001545297,0.00096581,0.002559397,0.013328182,0.003018157,0.003645934,0.00096581,0.002438671,0.000724358,0.00137628,0.001207263,0,0.000651922,0.001207263,9.66E-05,2.41E-05,0.000217307,0,2.41E-05,7.24E-05,4.83E-05,0.000386324,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;
Candidatus_Methylopumilus,0.003187174,0.009006181,0.002317945,0.011227545,0.000434615,0.001569442,0.000869229,0.002028202,0.002221364,0.00091752,0.01267626,0.00422542,0.000120726,0,7.24E-05,0,7.24E-05,2.41E-05,0.000193162,9.66E-05,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Candidatus_Methylopumilus;
