mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
485.86,6559305,360.039539,360.039476,-0.063,-0.175,C13 H14 N O9 S ,13,14,1,9,1,
617.12,4375119,360.047372,360.047338,-0.034,-0.095,C15 H10 N3 O8  ,15,10,3,8,0,
591.03,4836950,360.057216,360.057234,0.017,0.048,C13 H14 N O11  ,13,14,1,11,0,
157.34,18409058,360.072519,360.072490,-0.029,-0.080,C17 H14 N O8   ,17,14,1,8,0,
535.80,4134500,360.075828,360.075861,0.034,0.093,C14 H18 N O8 S ,14,18,1,8,1,
559.70,8212074,360.083800,360.083723,-0.077,-0.212,C16 H14 N3 O7  ,16,14,3,7,0,
340.00,11556465,360.093629,360.093619,-0.009,-0.025,C14 H18 N O10  ,14,18,1,10,0,
559.81,10483325,360.108908,360.108876,-0.033,-0.090,C18 H18 N O7   ,18,18,1,7,0,
674.21,6932101,360.120161,360.120109,-0.053,-0.146,C17 H18 N3 O6  ,17,18,3,6,0,
644.36,9918092,360.130014,360.130005,-0.009,-0.026,C15 H22 N O9   ,15,22,1,9,0,
519.74,5506712,360.145194,360.145261,0.067,0.186,C19 H22 N O6   ,19,22,1,6,0,
698.41,2969248,360.156519,360.156494,-0.025,-0.069,C18 H22 N3 O5  ,18,22,3,5,0,
615.66,4966056,360.166355,360.166390,0.035,0.097,C16 H26 N O8   ,16,26,1,8,0,
-1000.00,5323001,360.962380,360.962605,0.225,0.624,C18 H O9       ,18,1,0,9,0,
-1000.00,3493129,360.983601,360.983735,0.133,0.369,C15 H5 O11     ,15,5,0,11,0,
91.29,25307428,361.020125,361.020120,-0.005,-0.013,C16 H9 O10     ,16,9,0,10,0,
482.90,9189670,361.023490,361.023491,0.002,0.005,C13 H13 O10 S  ,13,13,0,10,1,
484.09,4473131,361.029048,361.028852,-0.197,-0.544,C19 H9 N2 O4 S ,19,9,2,4,1,
550.63,4473131,361.029048,361.029365,0.317,0.877,C6 H17 O15 S   ,6,17,0,15,1,
601.59,4997420,361.031420,361.031353,-0.067,-0.185,C15 H9 N2 O9   ,15,9,2,9,0,
465.21,6414638,361.033104,361.032874,-0.230,-0.636,C24 H9 O2 S    ,24,9,0,2,1,
545.76,10131763,361.041211,361.041249,0.038,0.106,C13 H13 O12    ,13,13,0,12,0,
43.46,37767488,361.056497,361.056506,0.008,0.023,C17 H13 O9     ,17,13,0,9,0,
214.75,17672514,361.059911,361.059877,-0.034,-0.093,C14 H17 O9 S   ,14,17,0,9,1,
509.70,4475206,361.065296,361.065237,-0.059,-0.163,C20 H13 N2 O3 S,20,13,2,3,1,
523.37,23185736,361.067756,361.067739,-0.017,-0.047,C16 H13 N2 O8  ,16,13,2,8,0,
499.59,16070985,361.069564,361.069260,-0.304,-0.843,C25 H13 O S    ,25,13,0,1,1,
502.22,3762506,361.070914,361.071110,0.196,0.542,C13 H17 N2 O8 S,13,17,2,8,1,
587.58,23603534,361.077625,361.077635,0.010,0.028,C14 H17 O11    ,14,17,0,11,0,
642.70,3234129,361.080695,361.081006,0.311,0.862,C11 H21 O11 S  ,11,21,0,11,1,
535.07,10615126,361.087334,361.087018,-0.316,-0.875,C25 H13 O3     ,25,13,0,3,0,
592.88,6110553,361.090780,361.090389,-0.391,-1.082,C22 H17 O3 S   ,22,17,0,3,1,
88.29,38816088,361.092892,361.092891,-0.000,-0.001,C18 H17 O8     ,18,17,0,8,0,
231.23,27765084,361.096242,361.096262,0.020,0.056,C15 H21 O8 S   ,15,21,0,8,1,
548.07,22489442,361.104152,361.104124,-0.028,-0.077,C17 H17 N2 O7  ,17,17,2,7,0,
618.64,3516773,361.107213,361.107496,0.283,0.784,C14 H21 N2 O7 S,14,21,2,7,1,
797.76,3735909,361.108102,361.108147,0.046,0.126,C22 H17 O5     ,22,17,0,5,0,
640.14,17525098,361.114003,361.114020,0.018,0.049,C15 H21 O10    ,15,21,0,10,0,
476.17,9664881,361.123748,361.123403,-0.345,-0.954,C26 H17 O2     ,26,17,0,2,0,
68.27,54888820,361.129294,361.129277,-0.018,-0.050,C19 H21 O7     ,19,21,0,7,0,
577.37,8669560,361.132620,361.132648,0.028,0.077,C16 H25 O7 S   ,16,25,0,7,1,
614.12,5891454,361.140499,361.140510,0.011,0.030,C18 H21 N2 O6  ,18,21,2,6,0,
353.20,11901317,361.150385,361.150406,0.021,0.058,C16 H25 O9     ,16,25,0,9,0,
395.55,5237132,361.160081,361.159789,-0.292,-0.808,C27 H21 O      ,27,21,0,1,0,
13.40,46811536,361.165656,361.165662,0.006,0.016,C20 H25 O6     ,20,25,0,6,0,
574.70,3250592,361.186821,361.186791,-0.029,-0.081,C17 H29 O8     ,17,29,0,8,0,
20.63,10684843,361.202080,361.202048,-0.033,-0.091,C21 H29 O5     ,21,29,0,5,0,
-1000.00,2692551,361.238374,361.238433,0.059,0.164,C22 H33 O4     ,22,33,0,4,0,
344.46,5766154,362.015345,362.015369,0.024,0.065,C15 H8 N O10   ,15,8,1,10,0,
93.10,18361380,362.051807,362.051755,-0.052,-0.144,C16 H12 N O9   ,16,12,1,9,0,
481.91,4879400,362.055137,362.055126,-0.011,-0.031,C13 H16 N O9 S ,13,16,1,9,1,
571.48,5549101,362.063071,362.062988,-0.083,-0.229,C15 H12 N3 O8  ,15,12,3,8,0,
538.14,2899503,362.064841,362.064509,-0.332,-0.916,C24 H12 N O S  ,24,12,1,1,1,
131.03,21285952,362.088169,362.088140,-0.029,-0.079,C17 H16 N O8   ,17,16,1,8,0,
545.00,10902600,362.099411,362.099373,-0.038,-0.105,C16 H16 N3 O7  ,16,16,3,7,0,
550.06,11975760,362.109297,362.109269,-0.028,-0.077,C14 H20 N O10  ,14,20,1,10,0,
330.18,11918427,362.124552,362.124526,-0.026,-0.072,C18 H20 N O7   ,18,20,1,7,0,
629.90,5698660,362.135815,362.135759,-0.056,-0.153,C17 H20 N3 O6  ,17,20,3,6,0,
637.57,4963435,362.145671,362.145655,-0.016,-0.045,C15 H24 N O9   ,15,24,1,9,0,
435.76,5112950,362.160964,362.160911,-0.053,-0.146,C19 H24 N O6   ,19,24,1,6,0,
629.98,3883142,362.182093,362.182040,-0.053,-0.146,C16 H28 N O8   ,16,28,1,8,0,
241.42,9711335,362.999353,362.999385,0.032,0.088,C15 H7 O11     ,15,7,0,11,0,
455.53,3423982,363.008268,363.008116,-0.152,-0.419,C18 H7 N2 O5 S ,18,7,2,5,1,
572.24,3423982,363.008268,363.008629,0.361,0.994,C5 H15 O16 S   ,5,15,0,16,1,
491.57,3716853,363.017933,363.018012,0.079,0.217,C16 H11 O8 S   ,16,11,0,8,1,
73.81,43273988,363.035786,363.035770,-0.016,-0.043,C16 H11 O10    ,16,11,0,10,0,
578.33,8226565,363.039220,363.039141,-0.079,-0.216,C13 H15 O10 S  ,13,15,0,10,1,
481.96,6653706,363.044883,363.044502,-0.382,-1.051,C19 H11 N2 O4 S,19,11,2,4,1,
765.75,6653706,363.044883,363.045153,0.270,0.743,C27 H7 O2      ,27,7,0,2,0,
586.65,8691467,363.047013,363.047004,-0.009,-0.025,C15 H11 N2 O9  ,15,11,2,9,0,
525.67,6772492,363.048882,363.048524,-0.357,-0.985,C24 H11 O2 S   ,24,11,0,2,1,
647.02,3845906,363.056992,363.056899,-0.092,-0.254,C13 H15 O12    ,13,15,0,12,0,
65.88,50122524,363.072147,363.072156,0.009,0.025,C17 H15 O9     ,17,15,0,9,0,
202.25,16473888,363.075476,363.075527,0.051,0.140,C14 H19 O9 S   ,14,19,0,9,1,
502.68,36474660,363.083393,363.083389,-0.004,-0.010,C16 H15 N2 O8  ,16,15,2,8,0,
457.86,22949672,363.085162,363.084910,-0.252,-0.695,C25 H15 O S    ,25,15,0,1,1,
676.95,6657838,363.093265,363.093285,0.020,0.055,C14 H19 O11    ,14,19,0,11,0,
587.84,12910389,363.103008,363.102668,-0.341,-0.938,C25 H15 O3     ,25,15,0,3,0,
64.13,66293560,363.108547,363.108541,-0.006,-0.017,C18 H19 O8     ,18,19,0,8,0,
445.78,18943804,363.111867,363.111912,0.046,0.126,C15 H23 O8 S   ,15,23,0,8,1,
572.01,20762434,363.119799,363.119775,-0.024,-0.066,C17 H19 N2 O7  ,17,19,2,7,0,
703.90,4734793,363.129616,363.129671,0.055,0.151,C15 H23 O10    ,15,23,0,10,0,
23.14,100110160,363.144941,363.144927,-0.015,-0.040,C19 H23 O7     ,19,23,0,7,0,
14.41,54398832,363.181293,363.181312,0.019,0.052,C20 H27 O6     ,20,27,0,6,0,
-1000.00,10727306,363.217714,363.217698,-0.017,-0.046,C21 H31 O5     ,21,31,0,5,0,
472.21,2975195,364.013243,364.013261,0.018,0.049,C15 H10 N O8 S ,15,10,1,8,1,
199.71,11149800,364.030974,364.031019,0.045,0.124,C15 H10 N O10  ,15,10,1,10,0,
648.95,2966001,364.042390,364.042252,-0.137,-0.377,C14 H10 N3 O9  ,14,10,3,9,0,
44.75,25858564,364.067461,364.067405,-0.056,-0.154,C16 H14 N O9   ,16,14,1,9,0,
488.62,3957254,364.070857,364.070776,-0.081,-0.223,C13 H18 N O9 S ,13,18,1,9,1,
597.21,6101516,364.078753,364.078638,-0.115,-0.317,C15 H14 N3 O8  ,15,14,3,8,0,
214.34,24752670,364.103813,364.103790,-0.023,-0.063,C17 H18 N O8   ,17,18,1,8,0,
626.15,8028719,364.124923,364.124919,-0.004,-0.010,C14 H22 N O10  ,14,22,1,10,0,
215.76,12145210,364.140143,364.140176,0.032,0.089,C18 H22 N O7   ,18,22,1,7,0,
-1000.00,3124821,364.176404,364.176561,0.157,0.432,C19 H26 N O6   ,19,26,1,6,0,
367.21,3668153,364.997202,364.997277,0.075,0.205,C15 H9 O9 S    ,15,9,0,9,1,
550.35,2861248,365.006363,365.006660,0.296,0.811,C26 H5 O S     ,26,5,0,1,1,
166.95,19788998,365.015014,365.015035,0.021,0.058,C15 H9 O11     ,15,9,0,11,0,
516.97,2687177,365.018573,365.018406,-0.167,-0.457,C12 H13 O11 S  ,12,13,0,11,1,
476.37,3502285,365.024155,365.023766,-0.388,-1.064,C18 H9 N2 O5 S ,18,9,2,5,1,
768.82,3502285,365.024155,365.024418,0.263,0.720,C26 H5 O3      ,26,5,0,3,0,
524.77,2867408,365.028121,365.027789,-0.332,-0.910,C23 H9 O3 S    ,23,9,0,3,1,
